episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_angular_jerk
1,9,success,29,10.18527102470398,52.08754801750183,11.469799995422363,7.484177112579346,0.14368457332767137,1.0,0.0
2,9,success,29,10.187272548675537,52.0434637516737,11.469799995422363,7.484177112579346,0.1438062836918432,1.0,0.0
3,11,success,35,11.685638666152954,29.477898016572,2.832136869430542,7.264186382293701,0.2464282350868401,1.0,0.0
4,11,success,36,11.947311878204346,44.40149287879467,5.898101806640625,7.264186382293701,0.16360230053802857,1.0,0.0
5,12,success,39,12.687440872192383,68.39689445495605,11.469799995422363,8.375994682312012,0.12246162269586913,1.0,0.0
6,12,success,39,12.689164161682129,36.71210125088692,12.233739852905273,8.375994682312012,0.22815350788752956,1.0,0.0
7,9,success,43,13.698615550994873,60.67064447700977,10.311874389648438,10.58480453491211,0.17446336075963495,1.0,0.0
8,6,success,48,14.94369101524353,46.03110671043396,1.3455698490142822,11.031310081481934,0.23964903018465653,1.0,0.0
9,6,success,51,15.699759721755981,38.43197177257389,1.0246856212615967,11.031310081481934,0.28703471543851883,1.0,0.0
10,4,collision,54,16.451655387878418,52.941809967160225,0.7330681681632996,18.227453231811523,0.0,1.0,0.0
11,4,collision,54,16.453449964523315,60.242252975702286,0.7297571301460266,18.227453231811523,0.0,1.0,0.0
12,4,collision,54,16.454942226409912,53.793335258960724,0.7287653088569641,18.227453231811523,0.0,1.0,0.0
13,4,collision,54,16.456456661224365,68.4259247481823,0.7567175030708313,18.227453231811523,0.0,1.0,0.0
14,7,success,56,16.950823307037354,34.38103128969669,0.8342924118041992,13.892915725708008,0.4040866490782502,1.0,0.0
15,7,success,56,16.953977346420288,39.18021358549595,0.830429196357727,13.892915725708008,0.3545900967433981,1.0,0.0
16,7,success,56,16.957242488861084,34.32706417143345,0.830429196357727,13.892915725708008,0.4047219318356248,1.0,0.0
17,7,success,56,16.96070432662964,67.41305889189243,0.830429196357727,13.892915725708008,0.2060864164017169,1.0,0.0
18,8,success,61,18.20393967628479,105.48813238739967,0.7044634222984314,13.43648624420166,0.1273743874321034,1.0,0.0
19,8,success,61,18.207436084747314,71.83801130950451,0.6925725340843201,13.43648624420166,0.18703867213573533,1.0,0.0
20,8,success,61,18.210803985595703,100.81076422333717,0.7044634222984314,13.43648624420166,0.13328424149661572,1.0,0.0
21,8,success,62,18.449695110321045,72.09741245210171,0.7179611921310425,13.43648624420166,0.1863657208658946,1.0,0.0
22,8,success,62,18.45146679878235,70.71670000255108,0.7392691373825073,13.43648624420166,0.19000442955789712,1.0,0.0
23,8,success,62,18.453391313552856,105.83398775756359,0.7366344928741455,13.43648624420166,0.12695814009182887,1.0,0.0
24,8,success,69,20.205185651779175,53.82154607772827,0.8114220499992371,14.817985534667969,0.2753169801786826,1.0,0.0
25,6,success,48,12.019806146621704,63.189694970846176,2.6447808742523193,11.031310081481934,0.1745745107105114,1.0,0.0
26,6,success,48,12.020038843154907,37.28451703488827,2.6398768424987793,11.031310081481934,0.2958683914601763,1.0,0.0
27,1,success,78,22.461729288101196,87.28601099550724,3.029071092605591,16.530359268188477,0.18938154097842003,1.0,0.0
28,1,success,78,22.465272903442383,59.19738571345806,1.9460132122039795,16.530359268188477,0.27924137306000035,1.0,0.0
29,1,success,78,22.468770027160645,53.09732550382614,3.0347206592559814,16.530359268188477,0.3113218813063817,1.0,0.0
30,1,success,78,22.471291065216064,87.31020468473434,3.0347206592559814,16.530359268188477,0.1893290632850699,1.0,0.0
31,4,success,79,22.72769784927368,59.71131902933121,1.1572225093841553,18.227453231811523,0.30525959781357187,1.0,0.0
32,1,success,44,11.044916868209839,57.20142288506031,0.7008476257324219,10.72222900390625,0.18744689315598562,1.0,0.0
33,1,success,84,23.961562871932983,87.46956816315651,2.8215112686157227,18.023468017578125,0.2060541557031475,1.0,0.0
34,11,success,30,7.507046461105347,14.001213625073433,37.287296295166016,7.264186382293701,0.518825480191586,1.0,0.0
35,9,success,45,11.275062561035156,76.11156356334686,4.223029136657715,11.206059455871582,0.1472320227207643,1.0,0.0
36,6,success,49,12.27895212173462,37.129207618534565,2.703165054321289,11.031310081481934,0.2971059925333608,1.0,0.0
37,11,success,37,9.26995587348938,39.78408619388938,10.943146705627441,7.264186382293701,0.18259025347198854,1.0,0.0
38,5,success,89,25.226015090942383,40.0411946028471,0.7454919815063477,20.113676071166992,0.5023245752447362,1.0,0.0
39,12,success,35,8.770483016967773,41.55954061448574,7.3949198722839355,8.375996589660645,0.2015420879493831,1.0,0.0
40,5,success,90,25.4804630279541,48.39694981276989,0.749721109867096,20.113676071166992,0.41559801080397535,1.0,0.0
41,5,success,90,25.483813285827637,41.194894105196,0.7786732912063599,20.113676071166992,0.4882565305254665,1.0,0.0
42,5,success,91,25.72480869293213,41.184208050370216,0.7370533347129822,20.113676071166992,0.4883832183094798,1.0,0.0
43,5,success,91,25.727657556533813,41.23820139467716,0.7905086874961853,20.113676071166992,0.4877437761813534,1.0,0.0
44,5,success,91,25.730515956878662,74.70812429487705,0.7370533347129822,20.113676071166992,0.26923010396803987,1.0,0.0
45,11,success,30,7.513681650161743,52.546301275491714,12.233739852905273,7.264186382293701,0.1382435339113357,1.0,0.0
46,1,success,44,11.022171020507812,79.84790271520615,0.7345364689826965,10.72222900390625,0.13428316385652944,1.0,0.0
47,12,success,35,8.759057998657227,15.921251058578491,17.972869873046875,8.375996589660645,0.5260890968205413,1.0,0.0
48,9,success,45,11.270322561264038,27.048335164785385,2.832136869430542,11.206059455871582,0.4142975672107506,1.0,0.0
49,1,success,44,11.006971836090088,43.08652675151825,0.7363356947898865,10.72222900390625,0.2488534076033044,1.0,0.0
50,9,success,45,11.271236658096313,55.826633900403976,12.40803050994873,11.206059455871582,0.20072962800987526,1.0,0.0
51,9,success,45,11.285220384597778,52.55697539448738,10.850972175598145,11.206059455871582,0.21321735833845126,1.0,0.0
52,11,success,36,9.003113746643066,69.50892728567123,6.236468315124512,7.264186382293701,0.10450724339967135,1.0,0.0
53,11,success,34,8.520232200622559,35.82306157797575,2.832136869430542,7.264186382293701,0.2027796079484108,1.0,0.0
54,4,success,78,19.538922786712646,30.79774309694767,0.7919700145721436,18.227449417114258,0.5918436737307793,1.0,0.0
55,9,success,49,12.278431177139282,54.886559799313545,7.516647815704346,11.931182861328125,0.21737895224173526,1.0,0.0
56,11,success,37,9.263513326644897,55.28922172635794,12.233739852905273,7.264186382293701,0.1313852167832317,1.0,0.0
57,6,success,51,12.755376100540161,42.78629572317004,1.2879152297973633,11.031310081481934,0.2578234431149447,1.0,0.0
58,1,success,44,11.005269765853882,37.51589050889015,0.726658046245575,10.72222900390625,0.28580499778794805,1.0,0.0
59,6,success,47,11.758624792098999,61.1159435082227,0.804729700088501,11.031310081481934,0.18049807379636956,1.0,0.0
60,11,success,32,8.012288093566895,15.235603272914886,37.33007049560547,7.264186382293701,0.4767902033264162,1.0,0.0
61,12,success,42,10.519496440887451,65.23419614392333,10.561279296875,8.375995635986328,0.12839884801380458,1.0,0.0
62,6,success,49,12.248094320297241,39.35053814202547,2.696601390838623,11.031310081481934,0.2803344147840445,1.0,0.0
63,8,success,63,15.770654916763306,28.526508316397667,0.7622160315513611,13.730537414550781,0.48132555384137793,1.0,0.0
64,9,success,49,12.269951581954956,50.86711199581623,12.131559371948242,11.931182861328125,0.23455593198036195,1.0,0.0
65,7,success,105,26.292733192443848,67.0781954228878,1.613121509552002,25.403175354003906,0.3787098802204221,1.0,0.0
66,12,success,41,10.27238416671753,44.47978288680315,7.516647815704346,8.375994682312012,0.18831015213424326,1.0,0.0
67,8,success,64,16.01244068145752,74.55766735970974,0.8124576210975647,13.730537414550781,0.18415996504164553,1.0,0.0
68,4,success,77,19.274685859680176,30.365684062242508,0.7868893146514893,18.227449417114258,0.6002647389649538,1.0,0.0
69,5,success,89,22.286972761154175,50.22323975712061,0.9142037630081177,20.113676071166992,0.4004854359941065,1.0,0.0
70,8,success,95,23.784478425979614,77.69830496609211,0.7932998538017273,20.88999366760254,0.26886035257421675,1.0,0.0
71,5,success,90,22.54131317138672,45.30895774066448,0.9842691421508789,20.113676071166992,0.44392272685440975,1.0,0.0
72,6,success,47,11.754617691040039,21.963915780186653,2.1795427799224854,11.031310081481934,0.5022469668834337,1.0,0.0
73,9,success,32,8.005330801010132,53.40409837663174,12.238643646240234,8.179953575134277,0.15317089556395572,1.0,0.0
74,7,success,105,26.27935767173767,50.03261695802212,1.6713117361068726,25.403175354003906,0.5077322934220577,1.0,0.0
75,7,success,81,20.267240047454834,44.38232038915157,0.9253812432289124,19.6674747467041,0.4431375956519715,1.0,0.0
76,11,success,31,7.782310962677002,32.73042319715023,2.832136869430542,7.264186382293701,0.22193988566961698,1.0,0.0
77,7,success,106,26.54121232032776,94.21432836167514,1.6776913404464722,25.403175354003906,0.269631761917198,1.0,0.0
78,7,success,106,26.536693572998047,68.87143775820732,1.6849920749664307,25.403175354003906,0.368849209206129,1.0,0.0
79,7,success,86,21.5105459690094,38.384808614850044,2.5259735584259033,20.780309677124023,0.5413680679154066,1.0,0.0
80,1,success,67,16.76509952545166,62.516203850507736,1.2930042743682861,16.38355255126953,0.26206889641678827,1.0,0.0
81,9,success,33,8.26092267036438,75.06873862817883,2.3948330879211426,8.179953575134277,0.10896617852672613,1.0,0.0
82,11,success,31,7.741387844085693,36.630464270710945,24.73503303527832,7.264186382293701,0.1983099730489087,1.0,0.0
83,11,success,32,8.011337757110596,35.53355321288109,2.832136869430542,7.264186382293701,0.204431747615389,1.0,0.0
84,8,success,88,22.02915620803833,106.81652010977268,0.8071452379226685,19.459367752075195,0.1821756384881036,1.0,0.0
85,11,success,32,7.999352693557739,41.536919459700584,10.641582489013672,7.264186382293701,0.17488505350863745,1.0,0.0
86,11,success,31,7.758232355117798,36.124149203300476,24.439556121826172,7.264186382293701,0.2010894800985378,1.0,0.0
87,9,success,41,10.259998083114624,49.24073079228401,12.230680465698242,10.142842292785645,0.20598480423801957,1.0,0.0
88,7,success,100,25.03669762611389,48.95037300884724,1.5552420616149902,24.423603057861328,0.4989462093260665,1.0,0.0
89,5,success,89,22.28371572494507,63.93480741977692,0.817229688167572,20.113676071166992,0.3145966474741463,1.0,0.0
90,5,success,89,22.27262592315674,62.170650348067284,0.9289083480834961,20.113676071166992,0.3235236555924539,1.0,0.0
91,5,success,89,22.27376699447632,40.79716131836176,0.9394872188568115,20.113676071166992,0.4930165585347807,1.0,0.0
92,8,success,88,22.036149740219116,106.0273305773735,0.7849927544593811,19.44536781311035,0.18339957921434308,1.0,0.0
93,12,success,40,10.006290912628174,38.90815758705139,12.233739852905273,8.375995635986328,0.21527607975901314,1.0,0.0
94,7,success,100,25.035921335220337,69.89473702013493,1.6060882806777954,24.423603057861328,0.3494340790040529,1.0,0.0
95,8,success,95,23.764866590499878,77.73145930469036,0.7789847254753113,20.88999366760254,0.2687456771616537,1.0,0.0
96,1,success,69,17.26083278656006,59.510330095887184,1.0569958686828613,14.61979866027832,0.24566825014618274,1.0,0.0
97,6,success,49,12.25593376159668,47.84119960956741,0.8244590759277344,11.031310081481934,0.23058180337258646,1.0,0.0
98,11,success,29,7.251539468765259,13.721172705292702,36.53844451904297,7.264186382293701,0.5294143976113403,1.0,0.0
99,7,success,100,25.021432399749756,48.94199301302433,1.5774539709091187,24.423603057861328,0.49903164040258385,1.0,0.0
100,4,success,79,19.750375747680664,64.13063883781433,1.2616896629333496,18.227449417114258,0.28422373061355705,1.0,0.0
101,6,success,49,12.239195108413696,39.676323456689715,0.8125521540641785,11.031310081481934,0.27803256754682937,1.0,0.0
