#{"t_start": 1749473319.0933938, "env_id": "None"}
r,l,t
1628.753172,779,40.655113
-3973.974083,909,70.699901
-2038.119151,882,100.72143
253.443221,906,130.761989
-1641.527216,891,160.789842
1748.03862,902,190.823277
-129.638986,889,220.864229
582.030309,902,250.902032
1225.334387,902,280.948543
-1383.297983,890,310.993169
1088.964493,852,341.040259
548.325655,297,442.069844
-1125.928395,850,472.133616
-786.213021,853,502.212182
384.435346,841,532.295514
-1250.814965,875,562.345679
-462.876228,876,592.39658
-800.756241,852,622.44554
1601.315171,864,652.494748
