episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
1,6,collision,6,4.253709554672241,9.724113553762436,7.585996150970459,11.031310081481934,0.0,1.0,2.8217146396636963
2,6,collision,6,4.255631446838379,45.73060970008373,6.236468315124512,11.031310081481934,0.0,1.0,14.83699893951416
3,11,collision,13,6.001026391983032,47.06719043850899,12.233739852905273,7.264186382293701,0.0,1.0,4.416574478149414
4,5,collision,14,6.264297246932983,34.995055079460144,3.320573091506958,20.113676071166992,0.0,1.0,2.898509979248047
5,11,collision,14,6.266158103942871,43.763784155249596,11.077319145202637,7.264186382293701,0.0,1.0,3.8250999450683594
6,5,collision,14,6.267935276031494,30.05161562561989,2.832136869430542,20.113676071166992,0.0,1.0,2.4705522060394287
7,8,collision,14,6.269635438919067,94.73220518231392,1.712816834449768,13.43648624420166,0.0,1.0,8.338468551635742
8,8,collision,14,6.271293640136719,38.21561124920845,1.712816834449768,13.43648624420166,0.0,1.0,3.2134580612182617
9,11,collision,14,6.273314476013184,31.008508234284818,25.96979331970215,7.264186382293701,0.0,1.0,2.680708885192871
10,8,collision,15,6.5110650062561035,38.513770110337646,2.0228989124298096,13.43648624420166,0.0,1.0,3.015002489089966
11,5,collision,17,6.995696306228638,7.744652166962624,3.722614049911499,20.113676071166992,0.0,1.0,0.31391456723213196
12,8,collision,18,7.253321647644043,33.08980205658008,1.4781157970428467,14.817985534667969,0.0,1.0,2.0543110370635986
13,8,collision,18,7.255536794662476,43.62621906402637,1.4781157970428467,14.817985534667969,0.0,1.0,2.7702972888946533
14,8,collision,16,3.9951565265655518,65.59585973620415,2.939034938812256,20.88999366760254,0.0,1.0,4.813478469848633
15,11,collision,26,9.26436471939087,30.095445489361737,25.96979331970215,7.264186382293701,0.0,1.0,1.3172519207000732
16,6,collision,9,2.2535409927368164,39.44271542131901,6.887075424194336,11.031310081481934,0.0,1.0,6.460935592651367
17,9,success,29,10.025110721588135,52.215119913220406,11.469799995422363,7.484177112579346,0.1433335234127159,1.0,1.7550780773162842
18,9,success,29,10.027140140533447,54.19709414243698,12.350049018859863,7.484177112579346,0.13809185217402908,1.0,1.8273497819900513
19,5,collision,30,10.26494574546814,43.18323929607868,3.9850056171417236,20.113676071166992,0.0,1.0,1.3659924268722534
20,11,success,30,10.267488479614258,36.26080358028412,23.96384048461914,7.264186382293701,0.2003316436771803,1.0,1.1419878005981445
21,12,collision,1,0.23148179054260254,58.66071319580078,10.84652328491211,8.375995635986328,0.0,1.0,
22,5,collision,19,4.758949279785156,38.26201042532921,3.6314728260040283,20.113676071166992,0.0,1.0,2.190443277359009
23,12,success,37,12.010558366775513,28.195362329483032,2.832136869430542,8.375994682312012,0.29706994307902507,1.0,0.6454601287841797
24,9,success,44,13.769441366195679,56.61524620690079,12.230244636535645,10.58480453491211,0.18696031977375618,1.0,1.1579018831253052
25,12,success,36,9.006728172302246,15.415563985705376,18.124313354492188,8.375996589660645,0.5433467499098692,1.0,0.2843368947505951
26,12,success,37,9.244858741760254,67.38786262273788,10.850972175598145,8.375996589660645,0.12429532950989354,1.0,1.8041691780090332
27,1,collision,39,9.75676155090332,33.31431445796625,0.9605332016944885,10.72222900390625,0.0,1.0,0.7734267711639404
28,11,success,32,8.022377252578735,53.24705497920513,12.233739852905273,7.264186382293701,0.13642419069243594,1.0,1.6178057193756104
29,7,success,55,16.529752492904663,54.59605538845062,0.9450192451477051,13.892915725708008,0.25446739012296754,1.0,0.830875813961029
30,7,success,55,16.533079624176025,53.35831938683987,0.8245977759361267,13.892915725708008,0.26037018941669504,1.0,0.8102890849113464
31,7,success,55,16.536465644836426,53.50913704931736,0.9434825778007507,13.892915725708008,0.25963632552891724,1.0,0.7949079275131226
32,7,success,55,16.539690256118774,28.533801347017288,0.8139207363128662,13.892915725708008,0.4868932658760614,1.0,0.32294797897338867
33,11,success,29,7.244075775146484,37.77354137599468,25.57793617248535,7.264186382293701,0.19230885211388032,1.0,1.216349482536316
34,9,success,45,11.272156000137329,52.87423501908779,10.850972175598145,11.206059455871582,0.21193799686796705,1.0,1.0171808004379272
35,11,collision,15,3.7629458904266357,52.18270790576935,12.233739852905273,7.264186382293701,0.0,1.0,4.230365753173828
36,5,collision,32,8.024274110794067,13.197447602458851,4.300191402435303,20.113676071166992,0.0,1.0,0.2756670117378235
37,12,success,37,9.259649276733398,73.27357812225819,10.793370246887207,8.375996589660645,0.1143112811508284,1.0,1.9776281118392944
38,1,success,67,19.53451156616211,85.69972352683544,1.0032154321670532,16.530359268188477,0.19288696144990794,1.0,1.11232328414917
39,1,success,67,19.536592721939087,39.902138132601976,0.9873712658882141,16.530359268188477,0.4142725187621556,1.0,0.41420504450798035
40,1,success,67,19.538553953170776,33.085867304354906,0.9873712658882141,16.530359268188477,0.49961994697393586,1.0,0.30227768421173096
41,12,collision,1,0.241041898727417,61.12105941772461,4.473317623138428,8.375995635986328,0.0,1.0,
42,1,success,69,20.025103330612183,51.26302595459856,0.862022876739502,16.530359268188477,0.32246163702526454,1.0,0.5739191174507141
43,4,collision,44,11.015851736068726,57.28814876079559,1.0570487976074219,18.227453231811523,0.0,1.0,1.163029432296753
